url,form_type,status,note,source,extra
https://www.sec.gov/Archives/edgar/data/1683541/000127956925001175/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925001175/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000162828025049248/form6-k20250930q22026.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000162828025049248/form6-k20250930q22026.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000862/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000862/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000828/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000828/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000168354125000015/form6-k20250630q12026.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000168354125000015/form6-k20250630q12026.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000806/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000806/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000785/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000785/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000731/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000731/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000711/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000711/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000708/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000708/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000645/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000645/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000641/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000641/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000634/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000634/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1683541/000127956925000577/aurora_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1683541/000127956925000577/aurora_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/2009233/000121390025115472/ea0266241-6k_agroz.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/2009233/000121390025115472/ea0266241-6k_agroz.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/2009233/000121390025112556/ea0266448-6k_agrozinc.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/2009233/000121390025112556/ea0266448-6k_agrozinc.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/2009233/000121390025096228/ea0259892-6k_agroz.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/2009233/000121390025096228/ea0259892-6k_agroz.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/2009233/000121390025046757/ea0239453-20f_agrozinc.htm?form=20-F,20-F,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/2009233/000121390025046757/ea0239453-20f_agrozinc.htm?form=20-F,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/2025774/000149315225020332/form20-f.htm?form=20-F,20-F,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/2025774/000149315225020332/form20-f.htm?form=20-F,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/2025774/000149315225020312/form6-ka.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/2025774/000149315225020312/form6-ka.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/2025774/000149315225020140/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/2025774/000149315225020140/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/2025774/000149315225017683/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/2025774/000149315225017683/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/894871/000164117225007916/form10-ka.htm?form=10-K,10-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/894871/000164117225007916/form10-ka.htm?form=10-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1005516/000121390025114608/ea0267105-6k_bosbet.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1005516/000121390025114608/ea0267105-6k_bosbet.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1005516/000121390025103961/ea0263141-6k_bosbetter.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1005516/000121390025103961/ea0263141-6k_bosbetter.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1005516/000121390025101533/ea0262093-6k_bosbetter.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1005516/000121390025101533/ea0262093-6k_bosbetter.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225024120/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225024120/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225023300/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225023300/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225021962/form6-k.htm?form=6-K,6-K,Incomplete,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225021962/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225019142/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225019142/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225018973/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225018973/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225018834/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225018834/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225018297/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225018297/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225017815/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225017815/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225017794/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225017794/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225017717/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225017717/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225017623/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225017623/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225016255/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225016255/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225013714/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225013714/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225012592/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225012592/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225012426/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225012426/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225012321/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225012321/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011818/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011818/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011811/form6-k.htm?form=6-K,6-K,Incomplete,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011811/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011743/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011743/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011616/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011616/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011529/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011529/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225020460/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225020460/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011292/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011292/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011290/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011290/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225015812/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225015812/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225015374/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225015374/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014919/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014919/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014822/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014822/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014642/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014642/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014478/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014478/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014259/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014259/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225013747/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225013747/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225013575/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225013575/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007161/d12047016_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007161/d12047016_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007149/d12045236_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007149/d12045236_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007147/d12044974_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007147/d12044974_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007121/d12044595_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007121/d12044595_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007120/d12044296_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007120/d12044296_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007083/d12042249_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007083/d12042249_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425006545/d12037465_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425006545/d12037465_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425006393/d12032781_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425006393/d12032781_6-k.htm?form=6-K,,path=edgar_financials
